location_id,city,country
LOC001,North Judithbury,Argentina
LOC002,East Jill,Syrian Arab Republic
LOC003,New Roberttown,Heard Island and McDonald Islands
LOC004,East Jessetown,Mozambique
LOC005,Lake Debra,Mexico
LOC006,Robinsonshire,Cameroon
LOC007,Lisatown,Jersey
LOC008,Lake Roberto,Brunei Darussalam
LOC009,Ericmouth,Armenia
LOC010,North Noahstad,Gambia
LOC011,Cassandraton,Haiti
LOC012,Herrerafurt,United Arab Emirates
LOC013,New Kellystad,Venezuela
LOC014,Lake Chad,South Africa
LOC015,Port Keith,Tokelau
LOC016,Port Jesseville,Armenia
LOC017,Ramirezstad,United Arab Emirates
LOC018,West Michael,Guinea-Bissau
LOC019,Jacquelineland,Cote d'Ivoire
LOC020,New Jessica,Pitcairn Islands
LOC021,South Noah,Egypt
LOC022,Lake Mark,Papua New Guinea
LOC023,East Lydiamouth,Bosnia and Herzegovina
LOC024,Adamsborough,Guinea
LOC025,Jasonfort,Slovakia (Slovak Republic)
LOC026,Wilkersonmouth,Moldova
LOC027,West Donald,Turks and Caicos Islands
LOC028,Juliechester,Tunisia
LOC029,Coxberg,Ireland
LOC030,Daviston,Nicaragua
LOC031,East Courtneychester,San Marino
LOC032,South Patrickmouth,Cape Verde
LOC033,Tashatown,Uzbekistan
LOC034,Lake Nicoleview,Venezuela
LOC035,Danielchester,Dominica
LOC036,South Aaron,Tonga
LOC037,Teresaburgh,Central African Republic
LOC038,Port Colleenhaven,South Georgia and the South Sandwich Islands
LOC039,East Nathaniel,Sudan
LOC040,New Stephanie,Christmas Island
LOC041,New Mariotown,Turkmenistan
LOC042,West Natashaport,Isle of Man
LOC043,North John,Anguilla
LOC044,North Jessicaland,Christmas Island
LOC045,East Donna,Saint Pierre and Miquelon
LOC046,West Allison,Uzbekistan
LOC047,Brandtside,Grenada
LOC048,Lake Larry,Slovenia
LOC049,Samuelhaven,Venezuela
LOC050,Martinezbury,Isle of Man
LOC051,West Andrewside,Spain
LOC052,New Jeffrey,Paraguay
LOC053,Lake Crystalbury,Tonga
LOC054,North Micheleland,Saint Pierre and Miquelon
LOC055,West Elizabeth,Sudan
LOC056,New David,Egypt
LOC057,Sanchezfort,Ethiopia
LOC058,Leeville,Cayman Islands
LOC059,Gomezchester,Solomon Islands
LOC060,Shieldston,Reunion
LOC061,North Richardmouth,Botswana
LOC062,East Jamesside,Hong Kong
LOC063,Taylorburgh,Tunisia
LOC064,Stevenland,Argentina
LOC065,Mortonside,Togo
LOC066,North Deniseside,Latvia
LOC067,North Sarabury,Cyprus
LOC068,South Todd,Cook Islands
LOC069,Port Richard,Svalbard & Jan Mayen Islands
LOC070,East Nicholasfurt,Uruguay
LOC071,Saramouth,Kuwait
LOC072,Rodneyside,Guernsey
LOC073,Mooreport,Gambia
LOC074,North Beth,Swaziland
LOC075,Lake Leeton,South Africa
LOC076,Shawhaven,Tunisia
LOC077,North Susan,Denmark
LOC078,Port Jacobland,Czech Republic
LOC079,South David,Anguilla
LOC080,New Brooke,Palestinian Territory
LOC081,South Dianeshire,Congo
LOC082,Sarahborough,Iran
LOC083,Johnfurt,Greenland
LOC084,Lake Debbie,Fiji
LOC085,Stewartland,Tonga
LOC086,South Christineshire,Bangladesh
LOC087,North Amandahaven,Sierra Leone
LOC088,Davidstad,Fiji
LOC089,East Mikeburgh,Guernsey
LOC090,Bassport,Norway
LOC091,Lake Lisaport,Madagascar
LOC092,East Josephville,Iran
LOC093,West Juan,Philippines
LOC094,Lake Matthew,Tajikistan
LOC095,Williamview,Martinique
LOC096,North Cynthiaview,Greenland
LOC097,North Matthewberg,Wallis and Futuna
LOC098,Evanmouth,Antarctica (the territory South of 60 deg S)
LOC099,Hoffmanville,Brazil
LOC100,Lake Rebeccaside,Turkey
