,date,total_revenue
0,2022-01-01,51877.0
1,2022-02-01,50088.9
2,2022-03-01,51916.32
3,2022-04-01,58675.37
4,2022-05-01,58135.57
5,2022-06-01,61891.28
6,2022-07-01,61409.64
7,2022-08-01,59292.08
8,2022-09-01,55805.35
9,2022-10-01,52034.85
10,2022-11-01,52999.29
11,2022-12-01,54354.77
12,2023-01-01,49745.89
13,2023-02-01,42749.04
14,2023-03-01,44641.69
15,2023-04-01,43337.64
16,2023-05-01,38153.15
17,2023-06-01,40551.68
18,2023-07-01,40265.13
19,2023-08-01,37375.81
20,2023-09-01,43255.05
21,2023-10-01,45804.5
22,2023-11-01,49735.41
23,2023-12-01,52265.01
24,2024-01-01,47652.56
25,2024-02-01,51525.36
26,2024-03-01,58124.49
27,2024-04-01,59887.09
28,2024-05-01,61055.71
29,2024-06-01,71548.13
30,2024-07-01,61461.95
31,2024-08-01,62212.65
32,2024-09-01,60089.95
33,2024-10-01,57083.17
34,2024-11-01,51714.56
35,2024-12-01,52276.91
