client_id,client_name,industry,location
C001,"Reese, Brown and Carpenter",Education,North Chasefort
C002,"Dunn, Gomez and Harmon",Technology,Fordhaven
C003,Herrera Inc,Retail,Erikahaven
C004,"Wheeler, Beasley and Knight",Technology,North Louisborough
C005,Molina and Sons,Technology,Clarkport
C006,Ward Ltd,Finance,Dicksonburgh
C007,Ortega-Guerrero,Retail,North Ricardo
C008,"Taylor, Graham and Bradley",Retail,Williamsport
C009,Henry-Miller,Retail,Port Joshuashire
C010,Thompson Group,Technology,West Loganchester
C011,Smith Ltd,Education,Lake Sara
C012,Dominguez-Steele,Retail,Georgemouth
C013,Larsen-Strickland,Technology,Port Melissafort
C014,Mendez Group,Finance,Shannonbury
C015,Watson LLC,Education,Josephhaven
C016,Watson-Norton,Finance,East Mark
C017,Pollard-Simmons,Education,South Codyfurt
C018,"Turner, Cameron and Woodard",Technology,Port Crystalville
C019,Smith Ltd,Healthcare,Jamesville
C020,"Garza, Lewis and Wilson",Education,Rodriguezburgh
C021,Lopez and Sons,Finance,Stephensonbury
C022,Ochoa and Sons,Technology,North John
C023,Reese and Sons,Education,East Tinaside
C024,"Davis, Craig and Griffith",Healthcare,Rodriguezside
C025,Rivera LLC,Healthcare,East Justin
C026,Parker-Mitchell,Retail,South Charles
C027,Strong LLC,Retail,East Megan
C028,"Lee, Frye and Gonzalez",Finance,Butlermouth
C029,Stuart and Sons,Education,Lake Meghan
C030,"Santana, Booth and Spears",Education,North Michele
C031,Serrano-Larsen,Retail,Tonyborough
C032,"Navarro, Franklin and Mosley",Education,Victoriaview
C033,Sullivan Group,Education,Port Dianastad
C034,Johnson-Baldwin,Healthcare,Yangborough
C035,"Hill, Kirby and Alvarado",Retail,Derekchester
C036,Medina-Taylor,Technology,New Joshuabury
C037,Bowen-Jones,Retail,East Alicia
C038,Johnson-Daniels,Technology,North Christopher
C039,"Cummings, Hopkins and Williams",Healthcare,Wallacebury
C040,Graves-Garner,Finance,Nicoleberg
C041,Brown-Hudson,Education,Karenmouth
C042,"Martinez, Ramirez and Bailey",Healthcare,Williamsville
C043,Clark PLC,Education,Jenniferfurt
C044,"Stevens, King and Wallace",Finance,Johnchester
C045,"Holmes, Pace and Gomez",Finance,West Carolynberg
C046,Summers Inc,Healthcare,Davidton
C047,Morrison-Reyes,Finance,South Brenda
C048,Lewis-Cole,Technology,North Patrickville
C049,Thomas Ltd,Finance,Cabreraport
C050,Alvarado Ltd,Education,Port Davidville
